approved_symbol,alias,HGNC_ID,NCBI_Gene_ID,Ensembl_Gene_ID,OMIM_ID,candidate_papers,full_text_documents,papers_with_alias_gene_annotation,papers_with_identifier,percentage_with_identifier,NCBI Gene_paper_count,HGNC_paper_count,Ensembl_paper_count,OMIM_paper_count
ABCD1,ABCD1,HGNC:61,215,ENSG00000101986,300371,1843,1385,1119,17,1.519213583556747,1,2,2,12
ACTA2,ACTA2,HGNC:130,59,ENSG00000107796,102620,12819,11661,10553,36,0.34113522221169335,4,0,15,19
ACTC1,ACTC1,HGNC:143,70,ENSG00000159251,102540,2589,2410,1972,20,1.0141987829614605,1,0,8,12
ACVRL1,ACVRL1,HGNC:175,94,ENSG00000139567,601284,2010,1687,1436,36,2.5069637883008355,1,1,5,30
APC,APC,HGNC:583,324,ENSG00000134982,611731,20586,13966,5235,16,0.30563514804202485,1,0,2,15
APOB,APOB,HGNC:603,338,ENSG00000084674,107730,25286,16813,14314,46,0.321363699874249,2,0,6,38
ATP7B,ATP7B,HGNC:870,540,ENSG00000123191,606882,4406,3042,2663,34,1.2767555388659406,1,1,7,26
BAG3,BAG3,HGNC:939,9531,ENSG00000151929,603883,3300,2690,2308,11,0.47660311958405543,1,0,7,3
BMPR1A,BMPR1A,HGNC:1076,657,ENSG00000107779,601299,3742,3201,2754,20,0.7262164124909223,0,0,3,17
BRCA1,BRCA1,HGNC:1100,672,ENSG00000012048,113705,21932,17654,14132,97,0.6863855080667988,2,6,8,84
BRCA2,BRCA2,HGNC:1101,675,ENSG00000139618,600185,36380,27544,24531,222,0.9049773755656109,4,5,19,200
BTD,BTD,HGNC:1122,686,ENSG00000169814,609019,2301,1652,345,10,2.898550724637681,0,2,1,7
CACNA1S,CACNA1S,HGNC:1397,779,ENSG00000081248,114208,1472,1241,1015,14,1.3793103448275863,0,0,3,11
CALM1,CALM1,HGNC:1442,801,ENSG00000198668,114180,2385,2165,1603,14,0.8733624454148472,1,1,5,7
CALM2,CALM2,HGNC:1445,805,ENSG00000143933,114182,1372,1258,976,5,0.5122950819672131,0,0,2,3
CALM3,CALM3,HGNC:1449,808,ENSG00000160014,114183,1050,957,728,4,0.5494505494505495,0,0,1,3
CASQ2,CASQ2,HGNC:1513,845,ENSG00000118729,114251,1552,1318,1058,11,1.0396975425330812,0,0,6,5
COL3A1,COL3A1,HGNC:2201,1281,ENSG00000168542,120180,6749,5941,5320,15,0.2819548872180451,1,0,6,9
CYP27A1,CYP27A1,HGNC:2605,1593,ENSG00000135929,213700,4044,3319,2884,37,1.2829403606102636,0,1,2,35
DES,DES,HGNC:2770,1674,ENSG00000175084,125660,35317,24142,588,10,1.7006802721088434,0,0,5,5
DSC2,DSC2,HGNC:3036,1824,ENSG00000134755,125645,1965,1757,1275,13,1.0196078431372548,1,2,2,9
DSG2,DSG2,HGNC:3049,1829,ENSG00000046604,125671,2447,2110,1767,11,0.622524052065648,0,1,5,5
DSP,DSP,HGNC:3052,1832,ENSG00000096696,125647,20738,15941,2911,24,0.8244589488148403,0,3,7,14
ENG,ENG,HGNC:3349,2022,ENSG00000106991,131195,18929,10222,2104,29,1.3783269961977187,2,2,3,23
