approved_symbol,alias,identifier_location,paper_count,PMIDs
ACTA2,ACTA2,fig_caption,1,27935821
ACTA2,ACTA2,paragraph,24,"19468071, 22187657, 24039846, 25254113, 26934405, 27058757, 27108798, 29802153, 30242502, 31523116, 31752940, 33031641, 34012228, 34071740, 34498425, 34630793, 34917985, 35008861, 35207515, 38234087, 39669627, 40328887, 40971055, 41576029"
ACTA2,ACTA2,table,10,"21360310, 25260786, 27050376, 28123539, 29626212, 32438606, 34510716, 34873922, 35379867, 39707330"
ACTA2,ACTA2,title_3,1,40080703
ACTC1,ACTC1,paragraph,12,"27148590, 28736618, 29386878, 30897084, 36945405, 37457373, 37498360, 37652022, 37663545, 38473809, 39669627, 40565972"
ACTC1,ACTC1,table,8,"23396983, 24938736, 27841901, 28797094, 29393387, 31200636, 32986378, 33923632"
ACVRL1,ACVRL1,fig_caption,1,38457357
ACVRL1,ACVRL1,paragraph,32,"18673552, 25052553, 26176610, 26401274, 27102204, 27260700, 27630060, 27876060, 28231770, 28588815, 28626375, 29243366, 29932521, 30728427, 31400083, 32962750, 33058509, 33067535, 33834622, 34336026, 35792874, 35902510, 36292575, 36293054, 36810341, 36817313, 38294582, 40133303, 40562378, 40564170, 40628270, 41162588"
ACVRL1,ACVRL1,table,3,"21360310, 30589872, 33195419"
APC,APC,paragraph,16,"33670908, 33790997, 34178123, 34704405, 34708937, 35303016, 36551963, 36901686, 38051531, 38488796, 38776926, 39357517, 39659389, 40073867, 40100215, 40911118"
APOB,APOB,paragraph,41,"17233885, 18497853, 18611256, 20018037, 22658148, 22989709, 23365789, 23556456, 25053660, 25852563, 26374825, 26608663, 26636822, 27830735, 28985495, 29036232, 29244742, 29263812, 30294546, 30592178, 30939045, 31427613, 32049305, 32130292, 32846800, 33519890, 34297352, 35294538, 35323704, 35774363, 35912641, 36226792, 36670186, 36769678, 37108800, 37568561, 38514665, 39600113, 40088892, 40171628, 41169049"
APOB,APOB,table,6,"16646984, 18433508, 22989709, 31591263, 33006316, 39449064"
ATP7B,ATP7B,abstract,1,29914392
ATP7B,ATP7B,footnote,1,23986700
ATP7B,ATP7B,paragraph,32,"22216297, 22308153, 23774950, 26048696, 26112727, 27022412, 28392828, 28717664, 29845115, 29914392, 30884209, 31059521, 31482689, 31589614, 31835360, 32067425, 32284880, 32573981, 32770663, 34240825, 34324271, 34439909, 35029214, 35222532, 36260680, 36626371, 37759957, 38397079, 39628766, 39669627, 39933775, 41997142"
ATP7B,ATP7B,table_footnote,1,32573981
ATP7B,ATP7B,title_2,1,36883047
BAG3,BAG3,paragraph,5,"29844655, 37008788, 37652022, 38473809, 40286359"
BAG3,BAG3,table,6,"21085583, 32781626, 34722422, 34873922, 36012532, 38998110"
BMPR1A,BMPR1A,paragraph,14,"20949628, 22275001, 26436109, 28944238, 29909963, 31493347, 31908716, 31937788, 32003824, 33118316, 35608067, 36551963, 38776926, 39804645"
BMPR1A,BMPR1A,table,5,"22788692, 25260786, 29909963, 33195419, 33574476"
BMPR1A,BMPR1A,table_foot,2,"33649982, 38355628"
BRCA1,BRCA1,abstract,5,"34276234, 37958491, 39056403, 39763599, 39981113"
